ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
283,Move Zeroes,57.80%,Easy,0.006480437, https://leetcode.com/problems/move-zeroes
973,K Closest Points to Origin,63.80%,Medium,0.005773688, https://leetcode.com/problems/k-closest-points-to-origin
237,Delete Node in a Linked List,63.80%,Easy,0.005144706, https://leetcode.com/problems/delete-node-in-a-linked-list
46,Permutations,63.50%,Medium,0.004216302, https://leetcode.com/problems/permutations
242,Valid Anagram,56.90%,Easy,0.004154124, https://leetcode.com/problems/valid-anagram
215,Kth Largest Element in an Array,55.40%,Medium,0.003902444, https://leetcode.com/problems/kth-largest-element-in-an-array
78,Subsets,62.00%,Medium,0.00368766, https://leetcode.com/problems/subsets
98,Validate Binary Search Tree,27.80%,Medium,0.002943776, https://leetcode.com/problems/validate-binary-search-tree
104,Maximum Depth of Binary Tree,66.00%,Easy,0.002787847, https://leetcode.com/problems/maximum-depth-of-binary-tree
20,Valid Parentheses,39.00%,Easy,0.00230057, https://leetcode.com/problems/valid-parentheses
347,Top K Frequent Elements,61.20%,Medium,0.001485664, https://leetcode.com/problems/top-k-frequent-elements
50,Pow(x;n),30.30%,Medium,0.001401689, https://leetcode.com/problems/powx-n
