ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
118,Pascal's Triangle,52.50%,Easy,0.041458433, https://leetcode.com/problems/pascals-triangle
1219,Path with Maximum Gold,65.10%,Medium,0.04111576, https://leetcode.com/problems/path-with-maximum-gold
647,Palindromic Substrings,60.60%,Medium,0.040968351, https://leetcode.com/problems/palindromic-substrings
993,Cousins in Binary Tree,52.00%,Easy,0.038764543, https://leetcode.com/problems/cousins-in-binary-tree
317,Shortest Distance from All Buildings,41.40%,Hard,0.03795522, https://leetcode.com/problems/shortest-distance-from-all-buildings
992,Subarrays with K Different Integers,48.60%,Hard,0.037006998, https://leetcode.com/problems/subarrays-with-k-different-integers
122,Best Time to Buy and Sell Stock II,57.00%,Easy,0.029793663, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
19,Remove Nth Node From End of List,35.20%,Medium,0.027353172, https://leetcode.com/problems/remove-nth-node-from-end-of-list
836,Rectangle Overlap,48.60%,Easy,0.024228926, https://leetcode.com/problems/rectangle-overlap
215,Kth Largest Element in an Array,55.40%,Medium,0.024144099, https://leetcode.com/problems/kth-largest-element-in-an-array
1209,Remove All Adjacent Duplicates in String II,56.90%,Medium,0.023243347, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii
380,Insert Delete GetRandom O(1),47.50%,Medium,0.021962815, https://leetcode.com/problems/insert-delete-getrandom-o1
167,Two Sum II - Input array is sorted,54.10%,Easy,0.021849838, https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
53,Maximum Subarray,46.50%,Easy,0.019336729, https://leetcode.com/problems/maximum-subarray
3,Longest Substring Without Repeating Characters,30.40%,Medium,0.018891764, https://leetcode.com/problems/longest-substring-without-repeating-characters
876,Middle of the Linked List,68.40%,Easy,0.017074974, https://leetcode.com/problems/middle-of-the-linked-list
240,Search a 2D Matrix II,43.20%,Medium,0.01698154, https://leetcode.com/problems/search-a-2d-matrix-ii
16,3Sum Closest,46.00%,Medium,0.016854332, https://leetcode.com/problems/3sum-closest
628,Maximum Product of Three Numbers,47.10%,Easy,0.016529302, https://leetcode.com/problems/maximum-product-of-three-numbers
120,Triangle,44.20%,Medium,0.013236461, https://leetcode.com/problems/triangle
445,Add Two Numbers II,54.50%,Medium,0.012330612, https://leetcode.com/problems/add-two-numbers-ii
98,Validate Binary Search Tree,27.80%,Medium,0.011723464, https://leetcode.com/problems/validate-binary-search-tree
283,Move Zeroes,57.80%,Easy,0.011491903, https://leetcode.com/problems/move-zeroes
207,Course Schedule,43.10%,Medium,0.011134595, https://leetcode.com/problems/course-schedule
739,Daily Temperatures,63.30%,Medium,0.01003269, https://leetcode.com/problems/daily-temperatures
72,Edit Distance,44.80%,Hard,0.010017614, https://leetcode.com/problems/edit-distance
17,Letter Combinations of a Phone Number,46.80%,Medium,0.009877165, https://leetcode.com/problems/letter-combinations-of-a-phone-number
70,Climbing Stairs,47.80%,Easy,0.009390798, https://leetcode.com/problems/climbing-stairs
242,Valid Anagram,56.90%,Easy,0.009322628, https://leetcode.com/problems/valid-anagram
20,Valid Parentheses,39.00%,Easy,0.009170695, https://leetcode.com/problems/valid-parentheses
189,Rotate Array,34.70%,Easy,0.009044379, https://leetcode.com/problems/rotate-array
295,Find Median from Data Stream,44.30%,Hard,0.008998936, https://leetcode.com/problems/find-median-from-data-stream
63,Unique Paths II,34.60%,Medium,0.008712754, https://leetcode.com/problems/unique-paths-ii
438,Find All Anagrams in a String,43.30%,Medium,0.008126822, https://leetcode.com/problems/find-all-anagrams-in-a-string
253,Meeting Rooms II,45.70%,Medium,0.00807922, https://leetcode.com/problems/meeting-rooms-ii
13,Roman to Integer,55.70%,Easy,0.007698267, https://leetcode.com/problems/roman-to-integer
204,Count Primes,31.50%,Easy,0.007072165, https://leetcode.com/problems/count-primes
973,K Closest Points to Origin,63.80%,Medium,0.005773688, https://leetcode.com/problems/k-closest-points-to-origin
39,Combination Sum,56.10%,Medium,0.005715934, https://leetcode.com/problems/combination-sum
50,Pow(x;n),30.30%,Medium,0.005595007, https://leetcode.com/problems/powx-n
237,Delete Node in a Linked List,63.80%,Easy,0.005144706, https://leetcode.com/problems/delete-node-in-a-linked-list
15,3Sum,26.80%,Medium,0.004940993, https://leetcode.com/problems/3sum
160,Intersection of Two Linked Lists,40.60%,Easy,0.00490137, https://leetcode.com/problems/intersection-of-two-linked-lists
46,Permutations,63.50%,Medium,0.004216302, https://leetcode.com/problems/permutations
23,Merge k Sorted Lists,40.20%,Hard,0.004051459, https://leetcode.com/problems/merge-k-sorted-lists
198,House Robber,42.00%,Easy,0.003757637, https://leetcode.com/problems/house-robber
344,Reverse String,68.50%,Easy,0.00326958, https://leetcode.com/problems/reverse-string
88,Merge Sorted Array,39.40%,Easy,0.003010237, https://leetcode.com/problems/merge-sorted-array
104,Maximum Depth of Binary Tree,66.00%,Easy,0.002787847, https://leetcode.com/problems/maximum-depth-of-binary-tree
347,Top K Frequent Elements,61.20%,Medium,0.001485664, https://leetcode.com/problems/top-k-frequent-elements
