ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
42,Trapping Rain Water,48.90%,Hard,2.020411699, https://leetcode.com/problems/trapping-rain-water
289,Game of Life,54.50%,Medium,1.8133708, https://leetcode.com/problems/game-of-life
1086,High Five,79.70%,Easy,1.783051375, https://leetcode.com/problems/high-five
209,Minimum Size Subarray Sum,38.20%,Medium,1.576010476, https://leetcode.com/problems/minimum-size-subarray-sum
166,Fraction to Recurring Decimal,21.60%,Medium,1.368969577, https://leetcode.com/problems/fraction-to-recurring-decimal
722,Remove Comments,34.60%,Medium,1.20128324, https://leetcode.com/problems/remove-comments
4,Median of Two Sorted Arrays,29.60%,Hard,1.178925498, https://leetcode.com/problems/median-of-two-sorted-arrays
780,Reaching Points,29.40%,Hard,1.065484819, https://leetcode.com/problems/reaching-points
862,Shortest Subarray with Sum at Least K,24.60%,Hard,1.050304323, https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k
387,First Unique Character in a String,53.40%,Easy,1.016175446, https://leetcode.com/problems/first-unique-character-in-a-string
688,Knight Probability in Chessboard,48.90%,Medium,0.875792939, https://leetcode.com/problems/knight-probability-in-chessboard
706,Design HashMap,61.30%,Easy,0.823135611, https://leetcode.com/problems/design-hashmap
443,String Compression,41.30%,Easy,0.817135635, https://leetcode.com/problems/string-compression
1041,Robot Bounded In Circle,49.60%,Medium,0.695004191, https://leetcode.com/problems/robot-bounded-in-circle
49,Group Anagrams,56.90%,Medium,0.619259069, https://leetcode.com/problems/group-anagrams
1163,Last Substring in Lexicographical Order,33.90%,Hard,0.611511197, https://leetcode.com/problems/last-substring-in-lexicographical-order
238,Product of Array Except Self,60.10%,Medium,0.603222688, https://leetcode.com/problems/product-of-array-except-self
592,Fraction Addition and Subtraction,49.00%,Medium,0.519300251, https://leetcode.com/problems/fraction-addition-and-subtraction
64,Minimum Path Sum,54.50%,Medium,0.404029946, https://leetcode.com/problems/minimum-path-sum
524,Longest Word in Dictionary through Deleting,48.40%,Medium,0.337108369, https://leetcode.com/problems/longest-word-in-dictionary-through-deleting
11,Container With Most Water,50.80%,Medium,0.316097754, https://leetcode.com/problems/container-with-most-water
121,Best Time to Buy and Sell Stock,50.50%,Easy,0.306988987, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
657,Robot Return to Origin,73.50%,Easy,0.248858631, https://leetcode.com/problems/robot-return-to-origin
54,Spiral Matrix,34.10%,Medium,0.246487862, https://leetcode.com/problems/spiral-matrix
8,String to Integer (atoi),15.40%,Medium,0.193703294, https://leetcode.com/problems/string-to-integer-atoi
153,Find Minimum in Rotated Sorted Array,45.10%,Medium,0.169222656, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
33,Search in Rotated Sorted Array,34.50%,Medium,0.167190949, https://leetcode.com/problems/search-in-rotated-sorted-array
532,K-diff Pairs in an Array,31.60%,Easy,0.157185584, https://leetcode.com/problems/k-diff-pairs-in-an-array
146,LRU Cache,33.20%,Medium,0.109099913, https://leetcode.com/problems/lru-cache
931,Minimum Falling Path Sum,62.50%,Medium,0.102852295, https://leetcode.com/problems/minimum-falling-path-sum
218,The Skyline Problem,34.60%,Hard,0.09823844, https://leetcode.com/problems/the-skyline-problem
322,Coin Change,35.50%,Medium,0.096172462, https://leetcode.com/problems/coin-change
720,Longest Word in Dictionary,48.20%,Easy,0.09362342, https://leetcode.com/problems/longest-word-in-dictionary
326,Power of Three,42.10%,Easy,0.090264193, https://leetcode.com/problems/power-of-three
942,DI String Match,72.60%,Easy,0.084956722, https://leetcode.com/problems/di-string-match
939,Minimum Area Rectangle,51.80%,Medium,0.08361414, https://leetcode.com/problems/minimum-area-rectangle
332,Reconstruct Itinerary,36.70%,Medium,0.083021433, https://leetcode.com/problems/reconstruct-itinerary
887,Super Egg Drop,27.10%,Hard,0.08054441, https://leetcode.com/problems/super-egg-drop
547,Friend Circles,58.60%,Medium,0.074086001, https://leetcode.com/problems/friend-circles
155,Min Stack,44.50%,Easy,0.073402193, https://leetcode.com/problems/min-stack
119,Pascal's Triangle II,49.00%,Easy,0.072118901, https://leetcode.com/problems/pascals-triangle-ii
1,Two Sum,45.60%,Easy,0.071474534, https://leetcode.com/problems/two-sum
200,Number of Islands,46.80%,Medium,0.069851038, https://leetcode.com/problems/number-of-islands
1051,Height Checker,71.10%,Easy,0.06960783, https://leetcode.com/problems/height-checker
141,Linked List Cycle,41.10%,Easy,0.068473589, https://leetcode.com/problems/linked-list-cycle
460,LFU Cache,34.20%,Hard,0.068363743, https://leetcode.com/problems/lfu-cache
588,Design In-Memory File System,45.90%,Hard,0.058410762, https://leetcode.com/problems/design-in-memory-file-system
1395,Count Number of Teams,82.00%,Medium,0.056405928, https://leetcode.com/problems/count-number-of-teams
62,Unique Paths,54.10%,Medium,0.05518797, https://leetcode.com/problems/unique-paths
76,Minimum Window Substring,34.60%,Hard,0.054733222, https://leetcode.com/problems/minimum-window-substring
724,Find Pivot Index,44.00%,Easy,0.054287413, https://leetcode.com/problems/find-pivot-index
44,Wildcard Matching,24.70%,Hard,0.053722215, https://leetcode.com/problems/wildcard-matching
91,Decode Ways,24.70%,Medium,0.052474877, https://leetcode.com/problems/decode-ways
99,Recover Binary Search Tree,39.70%,Hard,0.051264071, https://leetcode.com/problems/recover-binary-search-tree
560,Subarray Sum Equals K,43.90%,Medium,0.051202157, https://leetcode.com/problems/subarray-sum-equals-k
206,Reverse Linked List,62.50%,Easy,0.046346967, https://leetcode.com/problems/reverse-linked-list
78,Subsets,62.00%,Medium,0.044263006, https://leetcode.com/problems/subsets
1010,Pairs of Songs With Total Durations Divisible by 60,47.40%,Easy,0.04180337, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
56,Merge Intervals,39.30%,Medium,0.041733042, https://leetcode.com/problems/merge-intervals
